row,cell,claimed,computed,delta,status,tolerance
T-test P=6 MLP[100],median,72.6,72.575,-0.025,PASS,0.5
T-test P=6 MLP[100],iqr,14.3,14.319,0.019,PASS,0.5
T-test P=6 MLP[100],min,54.9,54.934,0.034,PASS,0.5
T-test P=6 MLP[100],max,90.0,90.007,0.007,PASS,0.5
T-test P=2 MLP[100],median,74.9,74.861,-0.039,PASS,0.5
T-test P=2 MLP[100],iqr,31.8,31.8,-0.0,PASS,0.5
T-test P=2 MLP[100],min,8.9,8.866,-0.034,PASS,0.5
T-test P=2 MLP[100],max,97.5,97.463,-0.037,PASS,0.5
T-test P=2 MLP[100],ratio,2.2,2.221,0.021,PASS,0.05
PCA P=6 SVM rbf,median,59.9,59.935,0.035,PASS,0.5
PCA P=6 SVM rbf,iqr,8.3,8.262,-0.038,PASS,0.5
PCA P=6 SVM rbf,min,44.1,44.123,0.023,PASS,0.5
PCA P=6 SVM rbf,max,74.3,74.264,-0.036,PASS,0.5
PCA P=2 SVM rbf,median,55.0,55.047,0.047,PASS,0.5
PCA P=2 SVM rbf,iqr,14.8,14.837,0.037,PASS,0.5
PCA P=2 SVM rbf,min,24.7,24.742,0.042,PASS,0.5
PCA P=2 SVM rbf,max,78.6,78.558,-0.042,PASS,0.5
PCA P=2 SVM rbf,ratio,1.8,1.796,-0.004,PASS,0.05
