disease,cell,claimed,computed,delta,status,tolerance
AD,T_p6_min,9.0,9.032,0.032,PASS,0.5
AD,T_p6_max,14.3,14.319,0.019,PASS,0.5
AD,T_p2_min,19.2,19.18,-0.02,PASS,0.5
AD,T_p2_max,32.1,32.123,0.023,PASS,0.5
AD,T_r_min,1.8,1.818,0.018,PASS,0.2
AD,T_r_max,2.7,2.691,-0.009,PASS,0.2
AD,P_p6_min,6.5,6.491,-0.009,PASS,0.5
AD,P_p6_max,10.4,10.388,-0.012,PASS,0.5
AD,P_p2_min,8.4,8.427,0.027,PASS,0.5
AD,P_p2_max,15.0,15.002,0.002,PASS,0.5
AD,P_r_min,0.8,0.811,0.011,PASS,0.2
AD,P_r_max,1.9,1.935,0.035,PASS,0.2
FTD,T_p6_min,9.2,9.201,0.001,PASS,0.5
FTD,T_p6_max,13.7,13.726,0.026,PASS,0.5
FTD,T_p2_min,13.5,13.46,-0.04,PASS,0.5
FTD,T_p2_max,24.4,24.382,-0.018,PASS,0.5
FTD,T_r_min,1.5,1.463,-0.037,PASS,0.2
FTD,T_r_max,2.0,2.012,0.012,PASS,0.2
FTD,P_p6_min,4.2,4.18,-0.02,PASS,0.5
FTD,P_p6_max,5.4,5.393,-0.007,PASS,0.5
FTD,P_p2_min,7.7,7.674,-0.026,PASS,0.5
FTD,P_p2_max,7.8,7.76,-0.04,PASS,0.5
FTD,P_r_min,1.4,1.439,0.039,PASS,0.2
FTD,P_r_max,1.9,1.856,-0.044,PASS,0.2
MDD EC,T_p6_min,10.5,10.535,0.035,PASS,0.5
MDD EC,T_p6_max,17.8,17.773,-0.027,PASS,0.5
MDD EC,T_p2_min,25.4,25.412,0.012,PASS,0.5
MDD EC,T_p2_max,34.9,34.948,0.048,PASS,0.5
MDD EC,T_r_min,1.7,1.729,0.029,PASS,0.2
MDD EC,T_r_max,2.5,2.493,-0.007,PASS,0.2
MDD EC,P_p6_min,1.8,1.788,-0.012,PASS,0.5
MDD EC,P_p6_max,17.8,17.793,-0.007,PASS,0.5
MDD EC,P_p2_min,1.0,1.028,0.028,PASS,0.5
MDD EC,P_p2_max,39.4,39.369,-0.031,PASS,0.5
MDD EC,P_r_min,0.6,0.553,-0.047,PASS,0.2
MDD EC,P_r_max,2.2,2.213,0.013,PASS,0.2
MDD EO,T_p6_min,13.4,13.374,-0.026,PASS,0.5
MDD EO,T_p6_max,15.4,15.398,-0.002,PASS,0.5
MDD EO,T_p2_min,14.8,14.82,0.02,PASS,0.5
MDD EO,T_p2_max,47.2,47.179,-0.021,PASS,0.5
MDD EO,T_r_min,1.1,1.108,0.008,PASS,0.2
MDD EO,T_r_max,3.1,3.064,-0.036,PASS,0.2
MDD EO,P_p6_min,0.6,0.628,0.028,PASS,0.5
MDD EO,P_p6_max,10.1,10.063,-0.037,PASS,0.5
MDD EO,P_p2_min,0.6,0.637,0.037,PASS,0.5
MDD EO,P_p2_max,42.0,41.999,-0.001,PASS,0.5
MDD EO,P_r_min,1.0,1.014,0.014,PASS,0.2
MDD EO,P_r_max,4.2,4.174,-0.026,PASS,0.2
SCZ,T_p6_min,7.2,7.175,-0.025,PASS,0.5
SCZ,T_p6_max,9.5,9.467,-0.033,PASS,0.5
SCZ,T_p2_min,14.7,14.705,0.005,PASS,0.5
SCZ,T_p2_max,24.0,23.963,-0.037,PASS,0.5
SCZ,T_r_min,1.7,1.672,-0.028,PASS,0.2
SCZ,T_r_max,2.5,2.531,0.031,PASS,0.2
SCZ,P_p6_min,2.9,2.933,0.033,PASS,0.5
SCZ,P_p6_max,12.8,12.778,-0.022,PASS,0.5
SCZ,P_p2_min,7.0,7.021,0.021,PASS,0.5
SCZ,P_p2_max,30.7,30.689,-0.011,PASS,0.5
SCZ,P_r_min,0.9,0.909,0.009,PASS,0.2
SCZ,P_r_max,2.4,2.402,0.002,PASS,0.2
