dataset,cell,claimed,computed,delta,status,tolerance
AD,epoch,0.715,0.7148,-0.0002,PASS,0.005
AD,subj,0.833,0.8333,0.0003,PASS,0.005
AD,gap_pp,11.9,11.8572,-0.0428,PASS,0.2
FTD,epoch,0.627,0.6275,0.0005,PASS,0.005
FTD,subj,0.667,0.6667,-0.0003,PASS,0.005
FTD,gap_pp,3.9,3.9192,0.0192,PASS,0.2
MDD EC,epoch,0.814,0.8135,-0.0005,PASS,0.005
MDD EC,subj,0.854,0.8542,0.0002,PASS,0.005
MDD EC,gap_pp,4.1,4.0629,-0.0371,PASS,0.2
MDD EO,epoch,0.781,0.7813,0.0003,PASS,0.005
MDD EO,subj,0.833,0.8333,0.0003,PASS,0.005
MDD EO,gap_pp,5.2,5.2047,0.0047,PASS,0.2
SCZ,epoch,0.573,0.5729,-0.0001,PASS,0.005
SCZ,subj,0.667,0.6667,-0.0003,PASS,0.005
SCZ,gap_pp,9.4,9.3731,-0.0269,PASS,0.2
