cohort,pipeline,seed,model,accuracy
ftd,ANOVA,50,MLP,0.8762747739080239
ftd,ANOVA,51,KNN,0.8414469886472965
ftd,ANOVA,51,XGBoost,0.9851837598614586
ftd,ANOVA,51,SVM,0.7654416009236098
ftd,ANOVA,51,MLP,0.8826245911102559
ftd,PCA,42,KNN,0.8872426399846065
ftd,PCA,42,XGBoost,0.9495862997883394
ftd,PCA,42,SVM,0.8293246103521262
ftd,PCA,42,MLP,0.9790263613623245
ftd,PCA,43,KNN,0.8893592457186839
ftd,PCA,43,XGBoost,0.9619010967866076
ftd,PCA,43,SVM,0.8322108908985953
ftd,PCA,43,MLP,0.9853761785645565
ftd,PCA,44,KNN,0.8947469694054262
ftd,PCA,44,XGBoost,0.9580527227246488
ftd,PCA,44,SVM,0.8329805657109871
ftd,PCA,44,MLP,0.9826823167211853
ftd,PCA,45,KNN,0.8866653838753127
ftd,PCA,45,XGBoost,0.9507408120069271
ftd,PCA,45,SVM,0.8225899557436983
ftd,PCA,45,MLP,0.9863382720800462
ftd,PCA,46,KNN,0.8910910140465653
ftd,PCA,46,XGBoost,0.9484317875697518
ftd,PCA,46,SVM,0.8229747931498942
ftd,PCA,46,MLP,0.9828747354242833
ftd,PCA,47,KNN,0.8960939003271118
ftd,PCA,47,XGBoost,0.9559361169905715
ftd,PCA,47,SVM,0.8320184721954974
ftd,PCA,47,MLP,0.9813353857994997
ftd,PCA,48,KNN,0.8835866846257456
ftd,PCA,48,XGBoost,0.9507408120069271
ftd,PCA,48,SVM,0.8220126996344045
ftd,PCA,48,MLP,0.9797960361747162
ftd,PCA,49,KNN,0.8878198960939003
ftd,PCA,49,XGBoost,0.9534346738502982
ftd,PCA,49,SVM,0.8304791225707139
ftd,PCA,49,MLP,0.9813353857994997
ftd,PCA,50,KNN,0.8858957090629209
ftd,PCA,50,XGBoost,0.9545891860688859
ftd,PCA,50,SVM,0.8222051183375024
ftd,PCA,50,MLP,0.9813353857994997
ftd,PCA,51,KNN,0.8912834327496633
ftd,PCA,51,XGBoost,0.9492014623821435
ftd,PCA,51,SVM,0.8266307485087551
ftd,PCA,51,MLP,0.9822974793149895
mdd_ec,ANOVA,42,KNN,0.9047404063205418
mdd_ec,ANOVA,42,XGBoost,0.9498871331828442
mdd_ec,ANOVA,42,SVM,0.8695259593679459
mdd_ec,ANOVA,42,MLP,0.9498871331828442
mdd_ec,ANOVA,43,KNN,0.9042889390519188
mdd_ec,ANOVA,43,XGBoost,0.9494356659142212
mdd_ec,ANOVA,43,SVM,0.8523702031602709
mdd_ec,ANOVA,43,MLP,0.9386004514672687
mdd_ec,ANOVA,44,KNN,0.9029345372460496
mdd_ec,ANOVA,44,XGBoost,0.9494356659142212
mdd_ec,ANOVA,44,SVM,0.8595936794582393
mdd_ec,ANOVA,44,MLP,0.9548532731376975
mdd_ec,ANOVA,45,KNN,0.9015801354401806
mdd_ec,ANOVA,45,XGBoost,0.9525959367945824
