experiment,feature_set,holdout_size_P,condition,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy
PCA_L_6_EC,PCA,6,EC,KNN,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,task_KNN_26_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49491525423728816,0.926413553786487
PCA_L_6_EC,PCA,6,EC,KNN,sub-5_sub-6_sub-23_sub-31_sub-34_sub-60,task_KNN_26_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49491525423728816,0.9131455399061033
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,task_KNN_8_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.46112115732368897,0.9086304700162074
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,task_KNN_8_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4755877034358047,0.9258508914100486
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-15_sub-21_sub-32_sub-50_sub-61,task_KNN_8_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4755877034358047,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,task_KNN_10_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.46126126126126127,0.9328131333603568
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,task_KNN_10_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.4594594594594595,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-2_sub-3_sub-8_sub-32_sub-53_sub-55,task_KNN_10_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.46126126126126127,0.9175111471422781
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,task_KNN_47_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.49916107382550334,0.9245861434702637
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,task_KNN_47_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5285234899328859,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-9_sub-21_sub-28_sub-38_sub-46_sub-47,task_KNN_47_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.49916107382550334,0.9124259145718373
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,task_KNN_32_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.48212728857890147,0.9159800630658123
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,task_KNN_32_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.48212728857890147,0.9260502492116773
PCA_L_6_EC,PCA,6,EC,KNN,sub-6_sub-25_sub-28_sub-30_sub-57_sub-60,task_KNN_32_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.5030514385353095,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,task_KNN_18_2731,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",0.4995801847187238,0.9177480331051394
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,task_KNN_18_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.49286314021830396,1.0
PCA_L_6_EC,PCA,6,EC,KNN,sub-3_sub-4_sub-8_sub-38_sub-41_sub-57,task_KNN_18_1379,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",0.4995801847187238,0.9307244303668131
PCA_L_6_EC,PCA,6,EC,KNN,sub-13_sub-16_sub-19_sub-45_sub-53_sub-54,task_KNN_1_0851,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",0.510221465076661,1.0
